,x,y,word,label
hl,39.822212,-26.296013,hl,3
Anhg,48.16348,-18.869135,Anhg,3
ccur,44.00514,-30.247175,ccur,3
jvcrp,-14.335854,-28.96166,jvcrp,4
jv,-10.4086,-22.012123,jv,4
pze,-8.5844345,-38.45158,pze,1
flw,46.711365,-29.211271,flw,3
plc,44.5756,-24.898827,plc,3
"lbrr,",-9.484723,-24.226372,"lbrr,",4
Prjec,-57.181343,-14.839499,Prjec,1
vulz,-17.080488,-30.127863,vulz,4
ef,56.218166,-23.225603,ef,3
ppe,49.86729,-22.326292,ppe,3
Mnger,-54.585384,-16.732521,Mnger,1
"cl,",53.88718,-25.70741,"cl,",3
Tlk,-41.878372,-20.12372,Tlk,4
MgDB,-27.428406,-19.174564,MgDB,4
Mp,-50.802666,-24.14742,Mp,1
cke,4.4177685,-39.909756,cke,3
"Ww,",-49.288895,-31.61803,"Ww,",1
"OS,",-49.44193,-30.602234,"OS,",1
Wk,-24.521982,-51.68177,Wk,0
epenen,40.103172,-12.776741,epenen,3
npul,27.421556,-37.06255,npul,3
Mel,-41.67313,-18.349194,Mel,1
npule,31.453072,-30.468523,npule,3
pper,40.758846,-26.32614,pper,3
curnl,-29.964903,0.97043604,curnl,2
nlc,-10.1423855,-41.560093,nlc,1
Fle,-51.1655,-16.603909,Fle,1
"HTML,",-16.431091,-28.452812,"HTML,",4
Snr,-4.3109493,-34.28252,Snr,2
pece,44.27763,-27.864965,pece,3
epenence,14.98405,-18.793211,epenence,3
"fe,",-21.844173,-28.849358,"fe,",4
prrl,-8.6236,-4.7853107,prrl,2
eclr,55.44954,-13.805278,eclr,2
exenble,-19.479998,-30.224138,exenble,4
effec,41.610428,-24.651188,effec,3
pw,14.180501,-41.079895,pw,3
"bjec,",53.90993,-24.5636,"bjec,",3
Swf,-44.198917,-35.300404,Swf,0
eng,9.577801,-42.009895,eng,3
gnl,47.931583,-27.876238,gnl,3
Sp,-45.039433,-15.430411,Sp,1
"Jv,",-6.76556,-32.26258,"Jv,",1
cceg,-4.507016,-22.689627,cceg,2
cpl,4.877674,-25.617,cpl,2
"func,",56.912785,-24.515293,"func,",3
Sc,2.1753652,-24.124426,Sc,2
Wh,16.045073,-16.48623,Wh,1
ecl,53.444645,-25.302172,ecl,3
Exp,-50.43018,-10.521131,Exp,1
"plf,",-43.266872,-29.168425,"plf,",1
quckl,-14.298976,-41.01243,quckl,4
Lrl,-24.189468,-29.421638,Lrl,4
plcen,-5.929763,-5.0291915,plcen,2
rnc,28.919016,-20.68276,rnc,3
cluer,-6.7654357,-41.00919,cluer,1
pler,13.584186,-10.120479,pler,4
hvg,39.03312,-31.255598,hvg,3
CMS,-23.745647,-27.947285,CMS,4
wkflw,-7.7321906,-41.734272,wkflw,1
cfue,15.6203,-28.640087,cfue,0
perl,7.438663,-46.6497,perl,3
Prgrg,-34.045044,-15.626226,Prgrg,1
lkg,50.576878,-3.6556518,lkg,0
cunce,5.71218,-44.30646,cunce,3
elecrc,11.585939,-46.128574,elecrc,3
Unx,4.5202904,-50.266113,Unx,3
encg,48.657097,-12.677979,encg,3
pz,51.973015,-13.409836,pz,2
prgrr,26.087543,-30.057133,prgrr,3
"Ph,",-6.8345737,-32.281967,"Ph,",2
PgSQL,-60.608025,-7.9088354,PgSQL,1
Acce,-53.636204,-14.919814,Acce,1
"el,",25.271507,-19.774014,"el,",3
rgh,49.695534,-30.309536,rgh,3
effcen,51.896458,-11.579193,effcen,3
chg,52.45229,-23.812483,chg,3
Cpen,-40.24013,-19.567547,Cpen,1
gge,17.31316,-31.00403,gge,0
bcken,-19.022661,-24.119078,bcken,4
clble,-11.095238,-40.316364,clble,1
unque,49.189022,-27.817015,unque,3
eger,56.94206,-25.174278,eger,3
Objec-C,-44.184906,-35.37472,Objec-C,4
epenenc,-16.690592,-24.881758,epenenc,4
OpenGL,-35.38321,-19.638817,OpenGL,2
vr,49.523045,-15.393809,vr,3
SAP,-55.709557,-14.702733,SAP,1
Brp,-13.951387,-27.595387,Brp,4
"evce,",9.580879,-47.222694,"evce,",3
hun,45.571445,-23.658838,hun,3
jb,3.4979682,-37.15494,jb,2
we,24.54526,-23.221964,we,3
Gr,-45.093956,-16.909647,Gr,1
newkg,0.47218075,-42.70106,newkg,1
Au,-46.4783,-21.48928,Au,1
Vrul,-46.672638,-26.764997,Vrul,1
Cen,-56.66207,-15.456551,Cen,1
Generl,-32.05863,-36.33981,Generl,0
Bc,-54.871967,-7.432594,Bc,1
enc,54.862995,-13.346683,enc,3
"en,",47.933773,-29.979214,"en,",3
nurl,54.76024,-13.1364355,nurl,3
"ervce,",-6.5557613,-43.49695,"ervce,",1
lhp,42.805965,-26.493313,lhp,3
"exple,",48.797756,-22.212786,"exple,",3
kernel,4.5757885,-50.214344,kernel,3
ccun,12.822611,-41.424633,ccun,3
ccerng,15.215792,-31.256079,ccerng,0
bunle,-23.697266,-23.63844,bunle,4
Cp,-52.063572,-11.902883,Cp,1
qun,51.390553,-17.668179,qun,3
Delper,-56.010754,-18.815828,Delper,1
cpbl,37.061684,-10.418003,cpbl,3
generg,26.863297,-36.883385,generg,4
WP,-21.202507,-22.129591,WP,4
CPU,50.184044,-17.270443,CPU,3
glbl,29.602089,-19.511524,glbl,3
"ple,",-18.409163,-30.324966,"ple,",4
peple,13.086226,-39.848637,peple,3
cfgu,16.773172,-39.779243,cfgu,3
nex,7.5160446,-27.6168,nex,2
execuble,37.135822,-16.996185,execuble,3
ebl,0.46429363,-28.936512,ebl,2
gnz,-8.259551,-44.072433,gnz,1
phcl,8.726818,-47.13334,phcl,3
Un,-39.416782,-17.97281,Un,1
Exen,-41.56657,-19.890194,Exen,1
ub,44.527313,-11.211942,ub,3
Dr,-42.442196,-14.313284,Dr,1
exernl,31.55218,-29.905033,exernl,3
ORM,-25.94284,-18.750078,ORM,4
nle,-23.62377,-23.845247,nle,4
lce,46.47992,-26.988773,lce,3
ernl,7.8709583,0.57809293,ernl,2
